시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
울주민속박물관,공립,울산광역시 울주군 온양읍 외고산1길 4-19,울산광역시 울주군 온양읍 고산리 446-1,35.436805,129.280915,052-237-0855,울주문화원,https://all.ulju.ulsan.kr/uljufolk/,,09:00,18:00,09:00,18:00,"""1월1일, 설날 및 추석당일, 매주 월요일, 공휴일 다음날, 관리운영상 정하는 휴관일""",0,0,0,무료,,,052-229-7645,울산광역시 울주군청,2018-02-14
울산옹기박물관,공립,울산광역시 울주군 온양읍 외고산3길 36,울산광역시 울주군 온양읍 고산리 501-18,35.435308,129.279535,052-237-7894,울주군청,http://onggi.ulju.ulsan.kr,휴게시설 보유,09:00,18:00,09:00,18:00,"""매주 월요일, 1월 1일, 설날 · 추석 당일, 관리운영상 정하는 휴관일""",0,0,0,무료,,,052-229-7645,울산광역시 울주군청,2018-02-14
울산해양박물관,사립,울산광역시 울주군 서생면 해맞이로 1251,울산광역시 울주군 서생면 대송리 261,35.3616506,129.3546986,052-239-6708,개인,http://oceancoral.kr/index/index.asp,,09:00,18:00,09:00,18:00,"""매주 월요일, 1월 1일, 설날 · 추석 당일, 관리운영상 정하는 휴관일""",5000,4000,3000,유료,,,052-239-6708,울산해양박물관,2018-02-14
충렬공박제상기념관,공립,울산광역시 울주군 두동면 박제상로 200,,35.6607115,129.2291455,052-229-9531,울주군시설관리공단,https://www.uljusiseol.or.kr/culture/culture_03.jsp,,09:00,18:00,09:00,18:00,"""매주 월요일, 국정공휴일 다음날, 1월 1일, 설날 · 추석 당일, 관리운영상 정하는 휴관일""",0,0,0,무료,,,052-229-9531,울주군시설관리공단,2018-02-14
청주고인쇄박물관,공립,충청북도 청주시 흥덕구 직지대로 713,충청북도 청주시 흥덕구 운천동 866,36.383846,127.281754,043-201-4262,청주고인쇄박물관,jikjiworld.cheongju.go.kr,"""기념품 판매점, 간이휴게소(3개)""",09:00,18:00,09:00,18:00,"""매주월요일, 1월1일, 설날, 추석""",0,0,0,,"""청주 고인쇄 박물관은 세계에서 가장 오래 된 금속 활자본 ''직지''를 인쇄한 청주 흥덕사의 옛 터에 있으며, 1992년 3월 17일에 개관한 고인쇄 전문 박물관""","""시내버스 831, 831-1""",043-201-4262,청주고인쇄박물관,2018-02-11
청주시립미술관,공립,충청북도 청주시 서원구 충렬로18번길 50,,36.634679,127.476215,043-201-2650,청주시립미술관,www.cmoa.or.kr,"""카페테리아,물품보관소""",10:00,19:00,10:00,19:00,"""매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)""",1000,0,0,청주주민등록자는 50퍼센트 할인,,,043-201-2641,청주시립미술관,2018-02-11
군산근대역사박물관,공립,전라북도 군산시 해망로 240,전라북도 군산시 장미동 1-67,35.990772,126.712031,063-454-7870,군산시 박물관관리과,http://museum.gunsan.go.kr/,처치실+다용도실+자전거보관대+수유실,09:00,18:00,09:00,18:00,1월1일,2000,1000,500,"""군산시 거주자 할인, 단체관람 할인""","""근대역사의 중심도시, 군산에 자리한 군산근대역사박물관은 군산의 근대문화 및 해양문화를 주제로 하는특화박물관이자 지역박물관으로서 군산의 역사와 문화를 체험할 수 있는 공간을 제공하고 있음""","""1~2, 8~9, 11~14, 88~89번 버스 이용 ⇒ 박물관 앞 승강장에서 하차""",063-454-7870,전라북도 군산시 박물관관리과,2018-01-01
대성동고분박물관,공립,경상남도 김해시 가야의 길 126,경상남도 김해시 대성동 434번지,34.425430,128.8730958,055-330-6881,대성동고분박물관,http://ds.gimhae.go.kr/main,,09:00,18:00,09:00,18:00,"""매주 월요일 , 1월 1일""",0,0,0,,,,055-330-6881,대성동고분박물관,2018-02-18
클레이아크 김해미술관,공립,경상남도 김해시 진례면 진례로 275-51,,35.2511084,128.7447532,055-340-7000,클레이아크 김해미술관,http://www.clayarch.org,,10:00,18:00,10:00,18:00,"""매주 월요일 , 1월 1일, 설, 추석""",2000,1000,500,단체 20퍼센트 할인,,,055-340-7000,클레이아크 김해미술관,2018-02-18
보성군립백민미술관,공립,전라남도 보성군 보성읍 문덕면 죽산길 168-14,전라남도 보성군 보성읍 문덕면 죽산리 산122-1,34.967235,127.160095,061-853-0003,보성군청,www.boseong.go.kr,야외공원,09:00,18:00,09:00,18:00,매주 월요일,0,0,0,무료,지역출신 서양화가 백민 조규일 화백의 작품과 국내외 유명화가들의 작품을 기증받아 전시,,061-850-5205,보성군청,2018-01-01
양산시립박물관,공립,경상남도 양산시 북정로78,경상남도 양산시 북정동 678,35.358438,129.048791,055-392-3314,양산시립박물관,http://www.yangsan.go.kr/museum/main.do,"""대강당,기획전시실,어린이체험실,시청각실""",09:00,18:00,09:00,18:00,"""월요일,1월1일,설날,추석""",0,0,0,"""일부기획전시 유료(개인-일반1,000 /청소년,군인 700/ 어린이 500)(단체-일반700/청소년,군인500/어린이300)""","""고분문화, 불교문화, 도자문화, 제례문화 전시""","""1. 지하철-2호선 양산역 하차하여 북정 방면 32번, 128번, 128-1번, 138번 삼성중학교·시립박물관 정류장 하차 2. 버스 -부산 범어사 방면 : 12번, 13번, 삼성중학교·시립박물관 정류장 하차부산 명륜동 방면 : 1200번 삼성중학교·시립박물관 정류장 하차부산 구포, 덕천동 방면 : 23번 삼성중학교·시립박물관 정류장 하차물금 방면 : 21번, 32번, 128번, 128-1번, 138번 삼성중학교·시립박물관 정류장 하차웅상 방면 : 52번, 57번 구.터미널 정류장 하차 후 물금방면에서 오는 차로 환승""",055-392-3311,양산시립박물관,2018-02-14
허준박물관,공립,서울특별시 강서구 허준로 87,서울특별시 강서구 가양동 26-5,37.567669,126.851032,02-3661-8686,강서문화원,http://www.heojun.seoul.kr/,"""주차장(무료 32대), 뮤지엄샵, 카페테리아, 휴게쉼터, 정원""",10:00,18:00,10:00,18:00,"""매주 월요일, 신정, 설·추석 당일 / 동절기(11월~2월) 17:00 관람종료""",1000,500,500,"""1. 만 6세 이하, 만 65세 이상, 국가·독립유공자, 장애인, 다둥이행복카드 소지자 무료   2. 통합관람(겸재정선미술관+허준박물관) - 어른 : 개인 1,300원, 단체 1,000원 / 청소년 : 개인 700원, 단체 500원""",허준박물관은 2005.3.23. 개관하여 허준 선생의 생애와 학문적 업적을 널리 기리고자 관련 자료를 수집·연구·전시하는 한의학 복합 문화공간임,"""지하철9호선 가양역1번 출구(도보 10분) / 지하철5호선 발산역3번 출구→지선버스 6657, 6630, 1002 탑승, 공진중학교 하차""",02-2600-6804,서울특별시 강서구청,2018-02-14
겸재정선미술관,공립,서울특별시 강서구 양천로47길 36,서울특별시 강서구 가양동 243-1,37.572048,126.838232,02-2659-2206,강서문화원,http://gjjs.or.kr/,"""주차장(무료 26대), 카페테리아, 문화상품판매점, 휴게쉼터""",10:00,18:00,10:00,18:00,"""매주 월요일, 신정, 설·추석 당일 / 동절기(11월~2월) 17:00 관람종료""",1000,500,500,"""1. 만 6세 이하, 만 65세 이상, 국가·독립유공자, 장애인, 다둥이행복카드 소지자 무료   2. 통합관람(겸재정선미술관+허준박물관) - 어른 : 개인 1,300원, 단체 1,000원 / 청소년 : 개인 700원, 단체 500원""",겸재정선미술관은 진경산수화풍을 완성한 겸재 정선(1676~1759)의 위대한 예술적 업적을 기리고 진경문화를 계승·발전시키고자 2009.4.23. 건립되었음,"""지하철9호선 양천향교역 1번출구→마을버스 강서06 탑승,  겸재정선미술관 앞 하차""",02-2600-6154,서울특별시 강서구청,2018-02-14
백제문화체험박물관,공립,충청남도 청양군 대치면 장곡길 43-24,충청남도 청양군 대치면 장곡리153-5,36.405991,126.845497,041-940-4871,충청남도 청양군,http://www.cheongyang.go.kr/museum.do,,09:00,17:00,09:00,17:00,"""1월1일, 설날, 추석,매주월요일(단 월요일이 공휴일인 경우 다음날)""",2000,1500,1000,단체20인이상 500원 인하,백제시대 두 수도의 배후도시였던 청양지역의 역사와 문화를 한눈에 볼수 있으며 다양한 체험을 할수 있는 곳,,041-940-2491,충청남도 청양군청,2018-02-13
백제군사박물관,공립,충청남도 논산시 부적면 충곡로 311-54,충청남도 논산시 부적면 신풍리 6,36.1921898,127.1804012,041-746-8432,충청남도 논산시청,http://museum.nonsan.go.kr/,매점+4D영상관+휠체어+물품보관소+전통놀이체험+자전거보관대,09:00,18:00,09:00,18:00,"""매주월요일(단 월요일이 공휴일인 경우 당일은 개관하고 그 따음 첫번째 평일에 휴관), 1월 1일, 설날, 추석""",0,0,0,무료,계백장군의 충절과 예학의 전통문화를 기리기 위해 2005년 개관 군사박물관,마을버스1일 8회 운행,041-746-8432,충청남도 논산시청,2018-02-13
세계다문화박물관,사립,서울특별시 은평구 불광로 135,서울특별시 은평구 불광동 13-27,37.6187179,126.9325323,02-323-6848,세계다문화박물관,http://www.multiculturemuseum.com,"""카페, 주차장""",13:00,18:00,10:00,18:00,"""매주 일요일,설날 및 추석 당일""",7000,6000,5000,"""국가유공자 및 장애인 본인 50퍼센트 감면, 문화가있는날 관람료 2000원 할인""","""글로벌 시대에 앞서가는, 다양한 문화가 공존하는 오감체험 박물관""","""지하철 6호선 독바위역 하차 후 1번 출구로 나오셔서 왼쪽 방향으로 1분거리, 버스 7720 - 수양탕 정류소에 하차후 오른쪽 방향으로 1분 거리""",02-323-6848,세계다문화박물관,2017-12-28
은평역사한옥박물관,공립,서울특별시 은평구 연서로50길 8,서울특별시 은평구 진관동 135-5,37.6403687,126.9380375,02-351-8524,은평역사한옥박물관,http://museum.ep.go.kr,"""장난감도서관, 주차장, 카페""",09:00,18:00,09:00,18:00,"""매주 월요일, 1월 1일, 설날 및 추석 연휴""",1000,500,0,"""65세 이상 무료, 문화가 있는 날 무료""","""은평의 역사와 발굴유물 전시, 한옥 건축 및 구조물 전시 등""","""지하철 3호선 연신내역 3번 출구 연서시장 정류장, 701 및 7211 버스 승차, 하나고 앞 정류장 하차. 지하철 3호선 구파발역 3번 출구 정류장, 7723  버스 승차, 하나고 앞 정류장 하차""",02-351-8525,서울특별시 은평구청,2017-12-28
정선 향토박물관,공립,강원도 정선군 화암면 화암동굴길 12-2,강원도 정선군 화암면 화암리 534,37.3513213,128.7892511,033-560-3418,정선군시설관리공단,www.jsimc.or.kr,"""주차장, 화장실""",09:00,18:00,09:00,18:00,연중무휴,0,0,0,무료,1층 강원고생대지질공원 탐방객센터2층 향토유물 전시,,033-560-3418,정선군시설관리공단,2017-12-12
성호기념관,공립,경기도 안산시 상록구 성호로 131,경기도 안산시 상록구 이동 615,37.314207,126.860491,031-481-2574,안산시청,http://seongho.iansan.net,영상실+장애인용 엘리베이터,09:00,18:00,09:00,18:00,"""매주 월요일, 1월1일, 설·추석연휴""",500,300,200,"""무료 : 7세이하, 65세이상, 장애인, 국가유공자, 100인 이상 학생단체""",성호기념관은  성호 이익 서생의 생애와 사상을 조명하기 위하여 안산시가 2002년 건립한 안산 최초의 박물관(제1종 전문박물관),"""시내버스 : 11, 11-2, 76, 71, 99-1, 125번 좌석버스 : 301번(서울 영등포역 - 광명 - 안산 상록수전철역) 지하철 : 4호선(상록수역, 한양대역)""",031-481-2796,안산시청,2017-04-21
최용신기념관,공립,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상로구 본오동 879-4,37.299605,126.862732,031-481-3040,안산시청,http://choiyongsin.iansan.net,,09:00,18:00,09:00,18:00,"""매주 월요일, 1월1일, 설·추석연휴""",0,0,0,,최용신기념관은 애국계몽독립운동가이셨던 최용신 선생을 기리고자 안산시가 건립한 공립박물관이자 국가보훈처 지정 현충시설(제13-1-23호),4호선 상록수역 1번 출구 (500m),031-481-2796,안산시청,2017-04-21
안산향토사박물관,공립,경기도 안산시 상록구 석호로 144,경기도 안산시 상록구 사동 1586-1,37.299094,126.847974,031-415-0041,안산문화원,http://www.ansanculture.or.kr,문화사랑방+문헌자료실,10:00,17:00,10:00,17:00,설·추석연휴,0,0,0,,"""안산향토사박물관은 2005년 개관했으며, 선사시대부터 근현대사에 이르는 안산의 역사를 한 눈에 볼 수 있는 1종 전문박물관""",지하철 4호선 한대앞역,031-481-2796,안산시청,2017-04-21
안산어촌민속박물관,공립,경기도 안산시 단원구 대부황금로 7,경기도 안산시 단원구 선감동 717,37.192438,126.646101,032-886-2912,안산도시공사,http://www.ansanuc.net,3D입체영상실+야외테라스,09:00,18:00,09:00,18:00,"""매주 월요일, 1월1일, 설·추석연휴""",2000,1500,1000,"""무료 : 국가유공자, 장애인, 미취학 아동, 65세이상""",안산어촌민속박물관은 서해안의 갯벌 생태계와 어촌 주민들의 삶을 살펴볼 수 있는 공립박물관(제1종 전문박물관),안산 시내버스 123번 버스 탑승 후 탄도항(종점) 하차,031-481-2796,안산시청,2017-04-21
단원미술관,공립,경기도 안산시 상록구 충장로 422,경기도 안산시 상록구 성포동 727,37.315587,126.851514,031-481-0505,안산문화재단,http://www.danwon.org,뮤지엄카페(해밀시아),10:00,19:00,10:00,19:00,연중 무휴,2000,1000,0,무료 : 3세 미만 어린이,단원미술관은 단원 김홍도의 예술혼이 살아 숨쉬는 문화예술도시 안산시가 건립한 최초의 공립미술관(제1종 전문미술관),"""시내버스 : 23, 31, 52번 이용(성포동 홈플러스 앞 하차, 도보 5분) 지하철 : 4호선 한대앞역 하차(3번출구) ->버스 환승(31, 33, 52번) [성포동 홈플러스 앞 하차, 도보 5분]""",031-481-2796,안산시청,2017-04-21
맥아트미술관,사립,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13,37.220591,126.602059,032-888-6262,맥아트미술관,http://www.glassisland.co.kr,문화상품점(BODA)+뮤지엄카페(MURANO),09:30,18:30,09:30,20:00,"""매년 12월 31일, 매주 월요일, 추석.설 하루전날""",10000,9000,8000,"""무료 : 유아(3세 미만), 할인 : 장애우, 국가유공자, 경로자""","""맥아트미술관은 회화, 입체, 설치, 영상 등 다양한 장르의 예술 작품들을 만날 수 있는 사립미술관(2012년 개관)""","""지하철 4호선 안산역 <-> 시내버스 123번 이용 (대부동주민센터 하차 후 4km 거리) 지하철 4호선 오이도역, <-> 광역버스 790번 이용 (대부동주민센터 하차 후 4km 거리)""",031-481-2796,안산시청,2017-04-21
유리섬미술관,사립,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13,37.220591,126.602059,032-888-6262,유리섬미술관,http://www.glassisland.co.kr,문화상품점(BODA)+뮤지엄카페(MURANO),09:30,18:30,09:30,20:00,"""매년 12월 31일, 매주 월요일, 추석.설 하루전날""",10000,9000,8000,"""무료 : 유아(3세 미만), 할인 : 장애우, 국가유공자, 경로자""",유리섬 미술관은 유리예술 문화를 공유하고 창조하는 복합문화체험공간을 추구하는 사립미술관(2012년 개관),"""지하철 4호선 안산역 <-> 시내버스 123번 이용 (대부동주민센터 하차 후 4km 거리), 지하철 4호선 오이도역 <-> 광역버스 790번 이용 (대부동주민센터 하차 후 4km 거리)""",031-481-2796,안산시청,2017-04-21
정문규미술관,사립,경기도 안산시 단원구 대부황금로 153-9,경기도 안산시 단원구 선감동 680-9,37.205297,126.644245,032-881-2753,정문규미술관,http://www.chungmuseum.org/,문화상품점+뮤지엄카페(ARPEGGIONE),10:00,18:00,10:00,18:00,매주 월요일,0,0,0,,정문규미술관은 2009년 우리나라의 대표적인 서양화가인 정문규 화백이 건립한 안산시  최초 개인사립미술관,"""안산 시내버스 123번 이용(배차간격 30분), 안산에서 대중교통 이용(신백승여행사 709번)""",031-481-2796,안산시청,2017-04-21
종이미술관,사립,경기도 안산시 단원구 대남로 233,경기도 안산시 단원구 대부남동 산85-41,37.224455,126.575946,032-887-0606,종이미술관,http://종이미술관.com,문화상품점+뮤지엄카페+한옥체험관(호텔),10:00,18:00,10:00,18:00,매주 월요일,5000,4000,4000,무료:3세 미만,종이미술관은 2014년 개관한  한국 최초의 종이조형미술관,"""지하철 : 4호선 안산역↔시내버스 123번 이용, 오이도역↔광역버스 790번 이용""",031-481-2796,안산시청,2017-04-21
남양주유기농박물관,공립,경기도 남양주시 조안면 북한강로 881,경기도 남양주시 조안면 삼봉리 182,37.595598,127.3374459,031-560-1471,남양주유기농박물관,http://www.organicmuseum.or.kr,,09:00,18:00,09:00,18:00,"""매주 월요일 및 설날,추석 당일""",2000,1500,1000,,,,031-590-2477,경기도 남양주시청,2017-04-27
무의자박물관,사립,경기도 남양주시 평내로 9,경기도 남양주시 평내동 426-1,37.6446062,127.2308497,02-2279-9755,무의자박물관,,,09:00,18:00,09:00,18:00,휴관중,0,0,0,공사로 인해 휴관,,,031-590-2477,경기도 남양주시청,2017-04-27
남양주역사박물관,공립,경기도 남양주시 와부읍 팔당로 121,경기도 남양주시 와부읍 팔당리 237-3,37.5463678,127.244399,031-576-0558,남양주역사박물관,http://www.nyjmuseum.go.kr,,09:00,18:00,09:00,18:00,매주 월요일 및 설날,1000,800,600,,,,031-590-2477,경기도 남양주시청,2017-04-27
우석헌자연사박물관,사립,경기도 남양주시 진접읍 금강로 1095,경기도 남양주시 진접읍 내각리 587,37.6980145,127.1608542,031-572-9555,우석헌자연사박물관,http://www.geomuseum.org,,10:00,17:00,10:00,17:00,"""매주 일요일,월요일(월요일이 공휴일인 경우 개관)""",5000,3000,3000,,,,031-590-2477,경기도 남양주시청,2017-04-27
프라움악기박물관,사립,경기도 남양주시 와부읍 경강로 756,경기도 남양주시 와부읍 도곡리 504-41,37.5684736,127.2270339,031-521-0441,프라움악기박물관,http://www.praum.or.kr,,10:00,18:00,10:00,18:00,매주 월요일 및 설날,5000,4000,3000,,,,031-590-2477,경기도 남양주시청,2017-04-27
덕소자연사박물관,사립,경기도 남양주시 와부읍 석실로 46-11,경기도 남양주시 와부읍 도곡리 619-4,37.5799761,127.2300307,031-521-7166,덕소자연사박물관,http://www.duksomuseum.com,,10:00,18:00,10:00,18:00,"""매주 월요일 및 설날,추석 당일""",7000,6000,6000,,,,031-590-2477,경기도 남양주시청,2017-04-27
왈츠와닥터만 커피박물관,사립,경기도 남양주시 북한강로 856-37,경기도 남양주시 조안면 삼봉리 272-6,37.5919204,127.3385033,031-576-6051,왈츠와닥터만 커피박물관,http://www.wndcof.org,,10:30,18:00,10:30,18:00,"""매주 월요일,크리스마스 이브 및 당일(임시휴관)""",5000,3000,3000,,,,031-590-2477,경기도 남양주시청,2017-04-27
실학박물관,공립,경기도 남양주시 조안면 다산로 747번길16,경기도 남양주시 조안면 능내리 27-1,37.5159607,127.3005864,031-579-6001,실학박물관,http://www.silhakmuseum.or.kr,,10:00,18:00,10:00,18:00,"""매주 월요일 및 설날,추석 당일""",4000,2000,0,,,,031-590-2477,경기도 남양주시청,2017-04-27
예당국악박물관,사립,경기도 남양주시 강변북로 661번길 21,경기도 남양주시 수석동 321-1,37.5899271,127.1683672,031-558-4825,예당국악박물관,,,10:00,17:00,10:00,17:00,"""매주 월요일 및 설날,추석 당일""",5000,3000,3000,,,,031-590-2477,경기도 남양주시청,2017-04-27
미호박물관,사립,경기도 남양주시 고산로 126번길 15-2,경기도 남양주시 수석동 3-1,37.592649,127.1805868,031-566-7377,미호박물관,http://mihomuseum.org,,10:00,17:30,10:00,17:30,"""매주 월요일 및 설날,추석 당일""",7000,6000,6000,,,,031-590-2477,경기도 남양주시청,2017-04-27
한국탁본자료관,사립,경기도 남양주시 조안면 운길산로 316,경기도 남양주시 조안면 진중리 527,37.5673164,127.2822312,031-576-7908,한국탁본자료관,http://cafe.naver.com/rubmuseum,,10:00,17:00,10:00,17:00,연중무휴,0,0,0,,,,031-590-2477,경기도 남양주시청,2017-04-27
모란미술관,사립,경기도 남양주시 화도읍 경춘로 2110번길 8,경기도 남양주시 화도읍 월산리 246-1,37.6504393,127.3239198,031-594-8001,모란미술관,http://www.moranmuseum.org,,09:30,18:00,09:30,18:00,매주 월요일,5000,4000,3000,,,,031-590-2477,경기도 남양주시청,2017-04-27
서호미술관,사립,경기도 남양주시 화도읍 북한강로 1344,경기도 남양주시 화도읍 금남리 571-8,37.6327316,127.3512979,031-592-1865,서호미술관,http://www.seohoart.com,,10:00,18:00,10:00,18:00,"""설날,추석 연휴""",2000,2000,2000,,,,031-590-2477,경기도 남양주시청,2017-04-27
