주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
192-2-000004,우정2,공영,노외,울산광역시 중구 우정동 252-9번지,,61,1,미시행,평일+토요일+공휴일,07:00,23:00,07:00,23:00,07:00,23:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5555871567,129.314629669,2018-02-20
192-1-000008,태화강대공원,공영,노상,울산광역시 중구 태화동 107번지,,323,1,미시행,평일+토요일+공휴일,11:00,19:00,11:00,19:00,11:00,19:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.547333075,129.297885169,2018-02-20
192-1-000007,학성새벽시장(노상),공영,노상,울산광역시 중구 학성동 349-16번지,,40,1,미시행,평일+토요일+공휴일,06:00,15:00,06:00,15:00,06:00,15:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.5557346068,129.332218895,2018-02-20
192-1-000006,십리대밭먹거리,공영,노상,울산광역시 중구 태화동 907-17번지,,222,1,미시행,평일+토요일+공휴일,11:00,19:00,11:00,19:00,11:00,19:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.5535128457,129.282413173,2018-02-20
192-2-000026,신삼호교,공영,노외,울산광역시 중구 다운동 486번지,,132,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5551677092,129.273806519,2018-02-20
192-2-000025,백양교하부,공영,노외,울산광역시 중구 교동 223-1번지,,38,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,,,2018-02-20
192-2-000024,태화둔치5,공영,노외,울산광역시 중구 태화동 969-3번지,,208,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5458678681,129.301194994,2018-02-20
192-2-000023,태화둔치4,공영,노외,울산광역시 중구 태화동 800번지,,93,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5778907705,129.289131499,2018-02-20
192-2-000022,태화둔치3,공영,노외,울산광역시 중구 태화동 800번지,,58,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5778907705,129.289131499,2018-02-20
192-2-000021,태화둔치2,공영,노외,울산광역시 중구 태화동 800번지,,44,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5778907705,129.289131499,2018-02-20
192-2-000020,태화둔치1,공영,노외,울산광역시 중구 태화동 800번지,,47,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5778907705,129.289131499,2018-02-20
157-1-000001,명천로인근,공영,노상,,대구광역시 달성군 화원읍 명곡리 144,29,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8003388394,128.497692998,2018-01-31
157-1-000002,화암로인근,공영,노상,,대구광역시 달성군 화원읍 명곡리 145,72,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7981186103,128.497673441,2018-01-31
157-1-000003,모개골길인근,공영,노상,대구광역시 달성군 화원읍 성화로 83,대구광역시 달성군 화원읍 설화리 1111,20,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7989892438,128.484734276,2018-01-31
157-1-000004,설화천로인근,공영,노상,,대구광역시 달성군 화원읍 설화리 160,45,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7996197494,128.485051317,2018-01-31
157-1-000005,명곡교인근,공영,노상,,대구광역시 달성군 화원읍 설화리 557-1,58,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8010336665,128.488767931,2018-01-31
157-1-000006,천내택지13길인근,공영,노상,,대구광역시 달성군 화원읍 천내리 131,14,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8063153606,128.497114902,2018-01-31
157-1-000007,천내택지8길인근,공영,노상,,대구광역시 달성군 화원읍 천내리 132,15,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8080875731,128.500108625,2018-01-31
157-1-000008,설래3길인근,공영,노상,대구광역시 달성군 화원읍 비슬로509길 26,대구광역시 달성군 화원읍 천내리 340,23,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8039304934,128.493233692,2018-01-31
157-1-000009,화장사길인근,공영,노상,대구광역시 달성군 화원읍 비슬로 2616,대구광역시 달성군 화원읍 천내리 461-3,2,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8047900272,128.502648512,2018-01-31
157-1-000010,천내택지2길인근,공영,노상,대구광역시 달성군 화원읍 인흥길 25-5,대구광역시 달성군 화원읍 천내리 56,34,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8014009041,128.498376662,2018-01-31
157-1-000011,인흥길인근,공영,노상,,대구광역시 달성군 화원읍 천내리 700-2,118,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7991852215,128.505494211,2018-01-31
157-1-000013,군청동길인근,공영,노상,,대구광역시 달성군 논공읍 금포리 1340-2,14,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7755665319,128.432394241,2018-01-31
157-1-000014,양지본길인근,공영,노상,,대구광역시 달성군 논공읍 남리 1144-1,113,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7285175213,128.439353989,2018-01-31
157-1-000015,금리양지1길인근,공영,노상,대구광역시 달성군 논공읍 논공로9길 39,대구광역시 달성군 논공읍 남리 1147,19,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.730826035,128.438325661,2018-01-31
157-1-000016,사촌본길인근,공영,노상,,대구광역시 달성군 논공읍 남리 137-48,34,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.72741612,128.436199848,2018-01-31
157-1-000017,양지1길인근,공영,노상,대구광역시 달성군 논공읍 논공로7길 55,대구광역시 달성군 논공읍 남리 224,26,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7318639807,128.440753777,2018-01-31
157-1-000018,남선알미늄앞길,공영,노상,,대구광역시 달성군 논공읍 본리리 103-8,48,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7329199167,128.467613046,2018-01-31
157-1-000019,공단7길인근-2,공영,노상,대구광역시 달성군 논공읍 논공로91길 47,대구광역시 달성군 논공읍 본리리 29-110,147,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7320618763,128.472637242,2018-01-31
157-1-000020,공단3길인근,공영,노상,,대구광역시 달성군 논공읍 본리리 29-22,85,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7397155355,128.459553709,2018-01-31
157-1-000021,공단4길인근,공영,노상,,대구광역시 달성군 논공읍 본리리 29-22,170,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7397155355,128.459553709,2018-01-31
157-1-000022,공단5길인근,공영,노상,,대구광역시 달성군 논공읍 본리리 29-22,42,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7397155355,128.459553709,2018-01-31
157-1-000023,남선알미늄옆길,공영,노상,,대구광역시 달성군 논공읍 본리리 29-22,34,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7397155355,128.459553709,2018-01-31
157-1-000024,대동금속뒷길,공영,노상,,대구광역시 달성군 논공읍 본리리 29-22,101,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7397155355,128.459553709,2018-01-31
157-1-000025,공단중앙로인근,공영,노상,,대구광역시 달성군 논공읍 북리 1047-3,88,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7279533381,128.44971501,2018-01-31
157-1-000026,공단6길인근,공영,노상,대구광역시 달성군 논공읍 논공로87길 128,대구광역시 달성군 논공읍 북리 1-113,192,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7300407536,128.465756491,2018-01-31
157-1-000027,공단9길인근,공영,노상,대구광역시 달성군 논공읍 논공로 318,대구광역시 달성군 논공읍 북리 1-116,82,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7283938145,128.460089787,2018-01-31
157-1-000012,화원로인근,공영,노상,대구광역시 달성군 화원읍 화원로 2,대구광역시 달성군 화원읍 천내리 45-10,25,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8061882384,128.499794121,2018-01-31
157-1-000028,양지4길인근,공영,노상,,대구광역시 달성군 논공읍 북리 1144-1,8,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,,,2018-01-31
157-1-000029,공단1길인근,공영,노상,,대구광역시 달성군 논공읍 북리 1-27,103,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7258134418,128.456470793,2018-01-31
157-1-000030,공단4교북편,공영,노상,,대구광역시 달성군 논공읍 북리 1-27,103,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7258134418,128.456470793,2018-01-31
157-1-000031,상신브레이크앞길,공영,노상,대구광역시 달성군 논공읍 논공중앙로33길 10,대구광역시 달성군 논공읍 북리 1-38,28,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7313087596,128.453944803,2018-01-31
157-1-000032,공단2길인근,공영,노상,대구광역시 달성군 논공읍 논공로 653-7,대구광역시 달성군 논공읍 북리 1-4,63,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7339310378,128.455597341,2018-01-31
157-1-000033,달성공단로인근,공영,노상,,대구광역시 달성군 논공읍 북리 1-47,558,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7302887491,128.459293248,2018-01-31
157-1-000034,공단7길인근,공영,노상,대구광역시 달성군 논공읍 논공중앙로54길 7,대구광역시 달성군 논공읍 북리 1-7,170,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7347146023,128.465581305,2018-01-31
157-1-000035,공단8길인근,공영,노상,대구광역시 달성군 논공읍 논공로 391,대구광역시 달성군 논공읍 북리 1-70,60,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7318633001,128.466466304,2018-01-31
157-1-000036,성원본길인근,공영,노상,,대구광역시 달성군 논공읍 북리 580-30,13,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7310909056,128.451089325,2018-01-31
157-1-000037,성원5길인근,공영,노상,대구광역시 달성군 논공읍 논공로23길 14-12,대구광역시 달성군 논공읍 북리 803-304,9,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.730698525,128.446555164,2018-01-31
157-1-000038,용호천6길인근,공영,노상,대구광역시 달성군 논공읍 용호로 6,대구광역시 달성군 논공읍 북리 824-178,19,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7268867723,128.446384554,2018-01-31
157-1-000039,용호천1길인근,공영,노상,,대구광역시 달성군 논공읍 북리 824-179,113,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.728390118,128.447269376,2018-01-31
157-1-000040,평화씨엠비~평화인엔지,공영,노상,,대구광역시 달성군 논공읍 본리리 29-21,45,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.7402780302,128.462804908,2018-01-31
157-1-000041,문양역인근,공영,노상,대구광역시 달성군 다사읍 달구벌대로 431,대구광역시 달성군 다사읍 문양리 400,12,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8620238793,128.433992764,2018-01-31
157-1-000042,화원IC인근,공영,노상,,대구광역시 달성군 옥포면 간경리 191-1,38,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.8001704999,128.474278407,2018-01-31
157-1-000043,강경리인근,공영,노상,,대구광역시 달성군 옥포면 기세리 863-7,23,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,,,2018-01-31
157-1-000044,구작로인근,공영,노상,대구광역시 달성군 현풍면 현풍중앙로21길 37-2,대구광역시 달성군 현풍면 부리 497,7,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.69653315,128.442923976,2018-01-31
157-1-000045,비슬로인근,공영,노상,,대구광역시 달성군 현풍면 원교리 1696-5,74,3,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,,,,,,,,대구광역시 달성군청,053-668-3815,35.6880533754,128.443341218,2018-01-31
